ACE inhibitor-induced cough, c_926, R05, T88.7, Y52.4
Abdominal aortic aneurysm, c_764, I71.4
Acute viral rhinosinusitis, c_1166, J01, J01.0, J01.1, J01.2, J01.3, J01.4, J01.8, J01.9
Acute viral tonsillopharyngitis, c_121, J02, J02.8, J02.9, J03.8, J03.9
Addison's disease, c_57, E27.1
Adenomyosis, c_868, N80.0
Adhesive capsulitis of shoulder, c_947, M75.0
Adjustment disorder, c_270, F43.2
Adrenal cancer, c_784, C74.9
Adverse event following immunization, c_1217, T88.1
African trypanosomiasis, c_535, B56
Agoraphobia, c_366, F40.0
Alcohol poisoning, c_667, T51.0
Alcohol withdrawal syndrome, c_227, F10.3, F10.4
Alcoholic cerebellar degeneration, c_622, G31.2
Alcoholic liver disease, c_6, K70
Alcoholism, c_5, F10.2
Allergic bronchopulmonary aspergillosis, c_578, B44.1, B44.8, B44.9
Allergic conjunctivitis, c_3, H10.1
Allergic rhinitis, c_4, J30.1, J30.2, J30.3, J30.4
Alzheimer's disease, c_16, G30
Amebiasis, c_522, A06
American trypanosomiasis, c_243, B57
Ampullary cancer, c_874, C24.1
Amyloidosis, c_291, E85
Amyotrophic lateral sclerosis, c_396, G12.2
Anal cancer, c_276, C21
Anal fissure, c_275, K60
Anal fistula, c_866, K60.3
Anaphylaxis, c_700, T78.2
Anemia of chronic disease, c_372, D63
Angioedema, c_715, T78.3
Ankle contusion, c_1049, S90.0
Ankle joint dislocation, c_1026, S93.0
Ankle osteoarthritis, c_222, M19.0
Ankylosing spondylitis, c_149, M45
Anogenital warts, c_12, A63.0
Anorexia nervosa, c_7, F50.0, F50.1
Antibiotic associated diarrhea, c_708, K52.1
Antiphospholipid syndrome, c_198, D68.8
Anxiety disorder, c_117, F41
Anxiety disorder with panic attacks, c_183, F41.0
Aplastic anemia, c_382, D61
Appendicitis, c_132, K35, K36, K37
Arm contusion, c_1039, S40.0
Ascariasis, c_289, B77
Asthma, c_8, J45, J45.0, J45.1, J45.8, J45.9
Asthma exacerbation, c_972, J45, J45.0, J45.1, J45.8, J45.9, J46
Atopic dermatitis, c_2, L20
Atrial fibrillation, c_48, I48
Atrophic vaginitis, c_928, N95.2
Attention deficit hyperactivity disorder, c_581, F90
Atypical pneumonia, c_1118, J15.7, J16.0
Autism spectrum disorder, c_863, F84, F84.0, F84.1, F84.2, F84.3, F84.4, F84.5, F84.8, F84.9
Autoimmune hepatitis, c_485, K75.4
Back and pelvis contusion, c_1050, S30.0
Bacterial gastroenteritis, c_1077, A04, A04.9, A09, K52.8, K52.9
Bacterial meningitis, c_563, G00, G01
Bacterial vaginitis, c_128, N76.0
Baker's cyst, c_910, M71.2
Balanoposthitis, c_134, N48.1
Bartholin's abscess, c_751, N75.1
Bartholin's cyst, c_110, N75.0
Battered child syndrome, c_1178, T74, T74.1, Y07, Y07.1, Y07.3, Y07.8, Y07.9
Beeturia, c_1205, R89.9
Behçet's disease, c_531, M35.2
Benign paroxysmal positional vertigo, c_871, H81.1
Benign prostatic hyperplasia, c_81, N40
Bipolar disorder, c_273, F31
Biventricular heart failure, c_612, I50
Bladder cancer, c_185, C67
Blepharitis, c_769, H01.0
Bloating after certain types of food, c_1242, R14
Blunt abdominal trauma, c_1095, S39.0, S39.6, S39.7, S39.8, S39.9
Bone neoplasm, c_1186, C40, C41
Botulism, c_432, A05.1
Brain abscess, c_680, A06.6, B43.1, G06.0
Brain tumour, c_333, C71, D33.0, D33.1, D33.2
Braincase fracture, c_1018, S02.0, S02.1, S02.7
Breast asymmetry in adolescence, c_1121, N64, N64.5, N64.9
Breast cancer, c_93, C50
Brucellosis, c_235, A23
Bruxism, c_999, F45.8, G47
Budd-Chiari syndrome, c_524, I82.0
Bulimia nervosa, c_14, F50.2, F50.3
Burn, c_845, T29, T30, T30.1, T30.2, T30.3, T30.4, T30.5, T30.6, T30.7
Bursitis, c_712, M71.9
COVID-19, c_1105, B34.2, U07.1, U07.2
Carbon monoxide poisoning, c_161, T58, X47, X67, Y17
Carcinoid syndrome, c_415, E34.0
Cardiac syncope, c_1219, R55
Cardiac tamponade, c_649, I31.4, I31.9
Cardiogenic shock, c_677, R57.0
Carotid artery disease, c_736, I65.2
Carotid artery dissection, c_381, I72.0
Carpal tunnel syndrome, c_212, G56.0
Cat-scratch disease, c_242, A28.1
Cataract, c_176, H25
Cauda equina syndrome, c_1126, G83.4
Cavernous sinus thrombosis, c_614, G08
Celiac disease, c_15, K90.0
Cerebellar stroke, c_379, G46.4
Cerebellopontine angle syndrome, c_471, D43.1
Cervical acceleration-deceleration syndrome, c_899, S13.4
Cervical cancer, c_96, C53
Cervical radiculopathy, c_1108, M54.1
Cervical strain, c_975, M43.6, S13.6
Cervical vertebra fracture, c_1024, S12.0, S12.1, S12.2, S12.7, S12.9
Cervicitis, c_129, N72
Chalazion, c_171, H00.1
Chest pain, unspecified, c_976, R07.3, R07.4
Chickenpox, c_68, B01.9
Chikungunya virus infection, c_902, A92.0
Chlamydial genitourinary infection, c_1101, A56
Cholecystitis, c_215, K81.0
Cholecystolithiasis, c_38, K80.2
Cholera, c_254, A00
Cholestasis, c_707, K71.0
Cholestasis of pregnancy, c_1071, O26.6
Chronic cannabinoid use, c_282, F12
Chronic constipation, c_674, K59.0
Chronic fatigue syndrome, c_668, F48.0, R53
Chronic heart failure, c_1003, I11.0, I50
Chronic intestinal ischemia, c_494, K55.1
Chronic kidney disease, c_180, N18
Chronic lymphocytic leukemia, c_82, C91.1
Chronic myelogenous leukemia, c_83, C92.1
Chronic obstructive pulmonary disease, c_76, J44, J44.8, J44.9
Chronic obstructive pulmonary disease exacerbation, c_973, J44.0, J44.1
Chronic pancreatitis, c_86, K86.0, K86.1
Chronic sinusitis, c_269, J32, J32.1, J32.2, J32.3, J32.4, J32.8, J32.9
Chronic tonsillitis, c_669, J35.0
Chronic urticaria, c_1112, L50
Chronic venous insufficiency, c_84, I87.2
Churg-Strauss syndrome, c_267, M30.1
Cirrhosis of the liver, c_503, K70.3, K74.6
Clavicle fracture, c_1051, S42.0
Clostridium difficile-associated disease, c_704, A04.7
Cluster headaches, c_39, G44.0
Cold urticaria, c_837, L50.2
Colon cancer, c_90, C18, C78.5
Common cold, c_87, J00
Concussion, c_672, S06.0
Conduct disorder, c_1170, F91
Conjunctivitis, c_172, B30.1, B30.3, B30.8, B30.9, H10, H13.1, H13.2
Conn's syndrome, c_449, E26.0
Contact dermatitis, c_670, L25
Corneal abrasion, c_174, S05.0
Corneal ulceration, c_175, H16.0
Corns and callosities, c_847, L84
Corticotropin releasing pituitary adenoma, c_545, D35.2, E24.0
Costochondritis, c_746, M94.0
Cough, unspecified, c_971, R05
Crohn's disease, c_17, K50
Crohn's disease exacerbation, c_1208, K50, K50.8, K50.9
Cruciate ligament injury, c_811, S83.5
Cushing's syndrome, c_141, E24
Cystic fibrosis, c_188, E84
Cysticercosis, c_434, B69
De Quervain syndrome, c_927, M65.4
De Quervain's thyroiditis, c_431, E06.1
Death cap poisoning, c_303, T62.0
Decompression sickness, c_891, T70.3
Deep vein thrombosis, c_148, I80.2
Degenerative disc disease of the cervical spine, c_576, M50.1, M50.2, M50.3, M50.8, M50.9
Degenerative disc disease of the lumbar and sacral spine, c_30, M51.1, M51.2, M51.3, M51.8, M51.9
Degenerative disc disease of the thoracic spine, c_577, M51.1, M51.2, M51.3, M51.8, M51.9
Dehydration, c_298, E86
Delayed onset muscle soreness, c_1204, M79.1
Dementia, c_260, F02, F03
Dengue fever, c_245, A97
Dental caries, c_79, K02
Dental fluorosis, c_1197, K00.3
Dental pulp gangrene, c_146, K04.1
Dental trauma, c_963, S02.5, S03.2
Dentin hypersensitivity, c_1213, K03.8
Depersonalization-derealization disorder, c_754, F48.1
Dermatomyositis, c_315, M33
Diabetes insipidus, c_407, E23.2
Diabetes mellitus type 1, c_404, E10
Diabetes mellitus type 2, c_405, E11
Diabetic foot infection, c_1191, E11.5, E11.6
Diabetic ketoacidosis, c_634, E10.1, E11.1, E12.1, E13.1, E14.1
Diabetic nephropathy, c_753, N08.3
Diabetic neuropathy, c_439, E10.4, E11.4, E12.4, E13.4, E14.4, G59.0, G63.2
Diabetic retinopathy, c_771, H36.0
Diarrhea, unspecified, c_965, K52.8, K52.9, R19.4
Dilated cardiomyopathy, c_759, I42.0
Disorder of the skin and subcutaneous tissue, unspecified, c_967, R23.8
Disulfiram-like reaction, c_190, F10.9
Diverticulitis, c_186, K57
Diverticulosis, c_113, K57
Dry eye disease, c_998, H04.1
Ear barotrauma, c_688, T70.0
Earwax blockage, c_808, H61.2
Echinococcosis, c_435, B67
Eclampsia, c_985, O15
Ectopic pregnancy, c_627, O00
Edema in pregnancy, c_991, O12.0
Elbow contusion, c_1041, S50.0
Elbow dislocation, c_1025, S53.0, S53.1
Electrical injury, c_1109, T75.0, T75.4
Encephalitis, c_671, A83, A85, A86, B01.1, B02.0, G04.0
Endometrial cancer, c_88, C54.1
Endometrial polyp, c_940, N84.0
Endometriosis, c_31, N80
Enterobiasis, c_166, B80
Epicondylitis, c_894, M77.0, M77.1
Epiglottitis, c_1078, J05.1
Epilepsy, c_74, G40
Epilepsy with loss of consciousness, c_1075, G40.3, G40.4, G40.6, G41.0
Epilepsy without loss of consciousness, c_1074, G40.0, G40.1, G40.2, G40.7, G41.1, G41.2
Epistaxis, c_983, R04.0
Erysipelas, c_169, A46
Erythema nodosum, c_1224, L52
Erythroderma, c_1216, L53.9
Esophageal cancer, c_94, C15
Esophageal diverticula, c_496, K22.5, Q39.6
Essential thrombocytosis, c_421, D47.3
Essential tremor, c_29, G25.0
External ear injury, c_1054, S00.4, S01.3
Eye injury, c_959, S05
Facial bones fracture, c_1015, S02
Facial contusion, c_1046, S00.8, S00.9
Facial nerve palsy, c_467, G51
Fasciolosis, c_426, B66.9
Fatigue, c_80, R53
Femur fracture, c_1055, S72
Fetal alcohol syndrome, c_1167, P04.3, Q86.0
Fibroadenoma of breast, c_778, D24
Fibrocystic breasts, c_739, N60.1
Fibromyalgia, c_598, M79.7
Finger contusion, c_1044, S60.1
Finger dislocation, c_1029, S63.1
Finger fracture, c_1012, S62.6
Flatfoot, c_814, M21.4
Folate-deficiency anemia, c_592, D52, D52.9, E53.8
Food allergy, c_832, T78.1
Food poisoning, c_138, A05
Foot bones fracture, c_1019, S92
Foot contusion, c_1056, S90.3
Foot osteoarthritis, c_223, M19
Forearm bones fracture, c_1057, S52
Forearm contusion, c_1035, S50.1, S50.7, S50.8, S50.9
Foreign body aspiration, c_887, T17
Foreign body in ear, c_1187, T16
Foreign body in nose, c_1184, T17.0
Functional dyspepsia, c_815, K30
Functional ovarian cyst, c_915, N83.0
Furuncles, carbuncles and cutaneous abscesses, c_723, H60.0, L02
Gall bladder and bile duct cancer, c_65, C22.1, C23, C24
Gambling addiction, c_992, F63.0, Z72.6
Gastric cancer, c_66, C16
Gastritis, c_515, K29.0, K29.1
Gastroesophageal reflux disease, c_101, K21
Gastrointestinal complaints after iron intake, c_1234, K92
General anxiety disorder, c_225, F41.1
Genital herpes, c_534, A60
Genital injury, c_960, S38.0, S38.2
Geographic tongue, c_1210, K14.1
Gestational diabetes, c_532, O24
Giardiasis, c_165, A07.1
Gilbert's syndrome, c_34, E80.4
Gingivitis, c_120, K05
Gitelman syndrome, c_447, N25.8
Glomerulonephritis, c_374, N00, N01, N02, N03, N05
Glossitis, c_247, K14.0
Goiter, c_734, E04, E04.9
Gonorrhea, c_159, A54
Goodpasture's syndrome, c_464, M31.0
Gout, c_27, M10
Granulomatosis with polyangiitis, c_264, M31.3
Graves' disease, c_427, E05.0
Greater trochanteric pain syndrome, c_938, M70.6
Growing pains, c_1135, R29
Guillain-Barré syndrome, c_314, G61.0
Gynecomastia, unspecified, c_1181, N62
HELLP syndrome, c_986, O14.2
Hand bones fracture, c_1016, S62
Hand osteoarthritis, c_219, M19
Hangover, c_137, F10.0
Hashimoto's thyroiditis, c_428, E06.3
Head and neck unspecified injury, c_1040, S09.9
Heart valve disease, c_897, I05, I06, I07, I08, I09.8, I34, I35, I36, I37
Heat and sun-related illness, c_424, T67
Heavy metal poisoning, c_1202, T56, T56.0, T56.1, T56.3, T57.0
Hemochromatosis, c_328, E83.1
Hemolytic anemia, c_60, D55, D58, D59
Hemolytic-uremic syndrome, c_606, D59.3
Hemophagocytic lymphohistiocytosis, c_514, D76.1
Hemophilia, c_1145, D68
Hemorrhagic anemia, c_371, D62
Hemorrhagic stroke, c_709, I61, I61.9
Hemorrhoids, c_147, K64
Henoch-Schönlein purpura, c_463, D69.0
Hepatic abscess, c_590, K75.0
Hepatic encephalopathy, c_443, K72
Hepatitis A, c_477, B15.9
Hepatitis B, c_478, B16.9, B18.1
Hepatitis C, c_479, B17.1, B18.2
Herbicide poisoning, c_294, T60.3
Herpangina, c_1183, B08.5
High altitude sickness, c_465, T70.2
Hip contusion, c_1047, S70.0
Hip dislocation, c_1031, S73.0
Hip osteoarthritis, c_221, M16
Hodgkin lymphoma, c_181, C81
Hookworm infection, c_290, B76
Horner's syndrome, c_287, G90.2
Humerus fracture, c_1070, S42.2, S42.3, S42.4
Hydrocele testis, c_525, N43
Hyperemesis gravidarum, c_921, O21.0, O21.1
Hyperparathyroidism, c_51, E21.0, E21.1, E21.2, E21.3
Hyperprolactinemia, c_920, E22.1
Hypertension, c_50, I10, I15
Hypertensive crisis, c_461, H35.0, I11.0, I12.0, I67.4
Hypertensive encephalopathy, c_462, I67.4
Hyperthyroidism, c_52, E05
Hypnic jerks, c_1243, G25.3
Hypoglycemia, c_446, E16.2
Hypoparathyroidism, c_58, E20
Hypopituitarism, c_196, E23.0
Hypotension, c_35, I95.0
Hypothyroidism, c_59, E01, E02, E03, E03.9
Hypovolemic shock, c_956, R57.1
Idiopathic pulmonary fibrosis, c_489, J84.1
Immune thrombocytopenia, c_628, D69.3
Impacted wisdom tooth, c_139, K01.1
Impetigo contagiosa, c_42, L01
Improper use of sleeping pills and sedatives, c_195, F13.1
Incarcerated inguinal hernia, c_551, K40.0, K40.1, K40.3, K40.4
Increased intracranial pressure, c_332, G93.2
Infectious arthritis, c_36, M00
Infectious mononucleosis, c_200, B27
Infective endocarditis, c_206, I33.0
Influenza, c_33, J09, J10, J11
Ingrown fingernail, c_836, L60.0
Ingrown toenail, c_978, L60.0
Inguinal hernia, c_550, K40.2, K40.9
Insecticide poisoning, c_295, T60.0, T60.1, T60.2
Insomnia, c_721, F51.0, G47.0
Insulinoma, c_408, C25.4, D13.7
Intercostal neuralgia, c_520, G58.0
Intestinal obstruction, c_694, K56
Intra-amniotic infection, c_990, O41
Iron deficiency anemia, c_62, D50, D50.8, D50.9
Irregular menstruation in adolescence, c_1124, N91, N91.3, N92.6
Irritable bowel syndrome, c_142, K58
Ischemic stroke, c_114, I63
Joint pain, unspecified, c_1083, M25.5
Kawasaki disease, c_1132, M30.3
Keloid, c_1188, L91.0
Keratitis, c_892, H16, H19.1, H19.2, H19.3
Kidney cancer, c_92, C64
Klüver-Bucy bitemporal syndrome, c_420, F07.0
Knee bursitis, c_720, M70.4, M70.5
Knee dislocation, c_1030, S83.1
Knee osteoarthritis, c_220, M17
Korsakoff's syndrome, c_347, F10.6
Labour, c_982, O80.9
Labyrinthitis, c_162, H83.0
Lactational mastitis, c_727, O91, O91.1, O91.2
Lactose intolerance, c_735, E73.0, E73.1, E73.8, E73.9
Laryngeal cancer, c_91, C32
Lassa fever, c_246, A96.2
Lateral medullary syndrome, c_553, G46.4, I66.3
Left-sided heart failure, c_211, I50.1
Legionellosis, c_272, A48.1
Leptospirosis, c_256, A27
Leriche's syndrome, c_313, I74.0
Leukoplakia, c_841, K13.2
Limb injury, unspecified location, c_1053
Limbic encephalitis, c_585, G04.8, G04.9
Lip injury, c_1111, S00.5, S01.5
Liver cancer, c_99, C22
Lower leg contusion, c_1059, S80.0, S80.1
Lower limb injury, unspecified location, c_1038, T13.9
Lumbar vertebra fracture, c_1022, S32.0
Lung cancer, c_64, C34, C78.0
Lyme disease, c_182, A69.2
Major depressive disorder, c_26, F32.0, F32.1, F32.2, F32.8, F32.9, F33.0, F33.1, F33.2, F33.8, F33.9
Major skin injury, c_1064, S01, S11, S21, S31, S41, S51, S61, S71, S81, S91
Malaria, c_413, B50, B51, B52, B53, B54
Malnutrition, c_1220, E40, E41, E42, E43, E44, E45, E46
Mandible fracture, c_1060, S02.6
Manic syndrome, c_274, F30
Mastocytosis, c_513, Q82.2
Measles, c_286, B05
Mechanical back pain, c_981, M54, M54.5, M54.6, M54.8, M54.9
Mediastinitis, c_469, J98.5
Medulloblastoma, c_620, C71
Melanoma, c_25, C43
Menopause, c_45, N95.1
Meteorosensitivity and meteoropathy, c_1236, T70, T70.8, T70.9
Methanol poisoning, c_619, T51.1
Microscopic polyangiitis, c_510, M31.7
Migraine, c_49, G43
Mild cognitive impairment, c_41, F06.7
Milk-alkali syndrome, c_323, E83.5
Minor head injury, unspecified, c_984, S00, S01
Minor skin injury, c_1063, S01, S11, S21, S31, S41, S51, S71, S81, S91
Mixed connective tissue disease, c_511, M35.1
Molluscum contagiosum, c_1122, B08.1
Mononeuritis multiplex, c_575, G58.7
Multiple myeloma, c_179, C90.0
Multiple sclerosis, c_108, G35
Multisystem inflammatory syndrome in children, c_1156, U07.3
Mumps, c_192, B26
Muscular dystrophy, c_1139, G71.0
Myasthenia gravis, c_46, G70.0
Myelofibrosis, c_423, C94.4
Myocardial infarction, c_140, I21, I22
Myocarditis, c_210, I40
Ménière's disease, c_203, H81.0
Ménétrier's disease, c_164, K29
Nail injury, c_979, S60.1, S90.2
Nasal polyps, c_440, J33
Nasal septum deviation, c_810, J34.2
Nasolacrimal duct obstruction, c_799, H04.5
Nausea and vomiting in pregnancy, c_710, O21.2, O21.8, O21.9
Nephrolithiasis, c_37, N20, N20.0, N20.1, N20.2, N23
Nephrotic syndrome, c_265, N04
Neurasthenia, c_375, F48.0
Nicotine dependence, c_63, F17
Nocturnal enuresis, c_1143, F98.0, N39.4
Non-Hodgkin lymphoma, c_583, C82, C83, C84, C85, C86, C88, C90, C91
Non-alcoholic fatty liver disease, c_644, K76.0
Non-allergic non-infectious rhinitis, c_666, J30.0
Non-lactational mastitis, c_801, N61
Non-melanoma skin cancer, c_797, C44
Non-traumatic vertebral fracture, c_1177, M48.5, M80
Nose injury, c_780, S00.3, S01.2, S02.2, S03.1
Obsessive-compulsive disorder, c_118, F42
Obstructive jaundice, c_248, K83.1
Obstructive sleep apnea, c_711, G47.3
Oculomotor nerve palsy, c_549, H49.0
Olecranon bursitis, c_937, M70.2
Onychomycosis, c_888, B35.1
Open-angle glaucoma, c_997, H40.1
Opioid withdrawal syndrome, c_1218, F11.3
Oral candidiasis, c_698, B37.0
Oral herpes, c_67, B00.1, B00.9
Orchitis and epididymitis, c_125, N45
Organic mental disorder, c_350, F06
Osteomalacia, c_337, M83
Osteomyelitis, c_533, M86
Osteoporosis, c_69, M81
Otitis externa, c_131, H60, H62.0, H62.1, H62.2, H62.3, H62.4
Ovarian cancer, c_89, C56
Paget's disease of bone, c_321, M88
Painful ovulation, c_923, N94.0
Pancoast tumor, c_617, C34.1
Pancreatic cancer, c_98, C25
Paranoid schizophrenia, c_310, F20.0
Paraphimosis, c_1106, N47
Parkinson's disease, c_19, G20
Paronychia, c_529, L03.0
Paroxysmal nocturnal hemoglobinuria, c_445, D59.5
Patella fracture, c_1013, S82.0
Patellofemoral pain syndrome, c_939, M22.2
Pediculosis capitis, c_633, B85.0
Pelvic inflammatory disease, c_160, N70
Pelvic organ prolapse, c_880, N81, N81.0, N81.1, N81.2, N81.3, N81.4, N81.5, N81.6, N81.8, N81.9
Pelvis fracture, c_1020, S32.1, S32.2, S32.3, S32.4, S32.5, S32.8
Penetrating abdominal trauma, c_1096, S39, S39.0, S39.6, S39.7, S39.8
Peptic ulcer, c_20, K25, K26, K27, K28
Pericarditis, c_126, I30
Perimenopause, c_772, N95.9
Periodontitis, c_75, K05.3
Periorbital cellulitis, c_957, H05.0, L03.2
Peripheral vascular disease, c_85, I73.9
Peritonitis, c_660, K65.0
Peritonsillar abscess, c_686, J36
Pernicious anemia, c_324, D51.0
Peroneal mononeuropathy, c_949, G57.3
Perthes disease, c_1140, M91.8
Pertussis, c_724, A37
Pheochromocytoma, c_207, C74.1, D35.0
Phimosis, c_1107, N47
Physical injury of unknown location, c_1065, T14.8, T14.9
Pilonidal cyst, c_1168, L05, L05.0, L05.9
Pituitary prolactin releasing adenoma, c_543, D35.2, E22.1
Pituitary tumor, c_334, C75.1, D35.2, D44.3
Pityriasis rosea, c_1200, L42
Placenta previa, c_924, O44
Placental abruption, c_989, O45
Plague, c_271, A20
Pneumocystis jirovecii pneumonia, c_798, B59
Pneumonia, c_127, J12, J13, J14, J15, J16, J17, J18
Pneumothorax, c_661, J93, S27.0
Polyarteritis nodosa, c_458, M30.0
Polycystic ovary syndrome, c_145, E28.2
Polycythemia vera, c_251, D45
Polymyositis, c_317, M33.2
Portal hypertension, c_695, K76.6
Post-COVID-19 syndrome, c_1182
Post-concussion syndrome, c_351, F07.2
Post-traumatic stress disorder, c_299, F43.1
Postinfectious cough, c_922, R05
Postpartum depression, c_309, F53.0
Posttraumatic seizures, c_1179, G40.8, R56, R56.8
Pre-eclampsia, c_369, O14
Pregnancy, c_22, Z32.0
Premenstrual syndrome, c_143, N94.3
Prerenal acute renal failure, c_508, N17.8, N17.9
Presbycusis, c_681, H91.1
Primary biliary cholangitis, c_486, K74.3
Primary dysmenorrhoea, c_1173, N94.4
Primary syphilis, c_775, A51.0, A51.1, A51.2, A51.5, A51.9
Prinzmetal's angina, c_497, I20.1
Proctitis, c_728, K51.2, K62.7, K62.8
Progressive supranuclear palsy, c_397, G23.1
Prostate cancer, c_335, C61
Prostatitis, c_122, N41.0
Pseudo gout, c_587, M11
Pseudo-tetany, c_571, R06.4
Pseudobulbar palsy, c_390, G12.2
Psittacosis, c_263, A70
Psoriasis, c_43, L40
Psoriasis exacerbation, c_1100, L40, L40.0, L40.1, L40.2, L40.4, L40.9
Psoriatic arthritis, c_953, L40.5
Pulmonary edema, c_288, J81
Pulmonary embolism, c_136, I26
Pulmonary hypertension, c_493, I27.0, I27.2
Pulmonary tuberculosis, c_32, A15, A16
Pulpitis, c_124, K04.0
Pure hypercholesterolemia, c_540, E78.0
Pure hypertriglyceridemia, c_541, E78.1
Pyelonephritis, c_284, N10, N12
Q fever, c_241, A78
Rabies, c_579, A82
Radial nerve neuropathy, c_950, G56.3
Ramsay Hunt syndrome type II, c_468, B02.2
Raynaud's phenomenon, c_209, I73.0
Reactive arthritis, c_100, M02
Reflex syncope, c_980, G90.8
Relapsing fever, c_237, A68
Respiratory diphtheria, c_687, A36.0, A36.1, A36.2, A36.9
Restless legs syndrome, c_748, G25.8
Retinal detachment, c_596, H33
Retinopathy, c_593, H35.2, H36
Rheumatoid arthritis, c_104, M05
Rib fracture, c_889, S22.3
Rickets, c_336, E55.0
Rift Valley fever, c_252, A92.4
Right-sided heart failure, c_572, I50.0
Rocky Mountain spotted fever, c_239, A77.0
Rosacea, c_849, L71.9
Rotator cuff syndrome, c_931, M75.1
Rotor syndrome, c_326, E80.6
Rubella, c_189, B06
Salicylate poisoning, c_307, T39.0, T49.0, T49.4
Sarcoidosis, c_105, D86
Scabies, c_589, B86
Scapula fracture, c_1021, S42.1
Scarlet fever, c_676, A38
Schizoaffective disorder - depressive type, c_311, F25.1
Schizoaffective disorder - manic type, c_312, F25.0
Sciatica, c_102, M54.3, M54.4
Scoliosis, c_675, M41, M41.9, M96.5
Scrub typhus, c_257, A75.3
Seasonal affective disorder, c_320, F33
Seborrheic dermatitis, c_453, L21
Secondary syphilis, c_766, A51.3
Sedatives withdrawal syndrome, c_278, F13.3
Separation anxiety disorder, c_1171, F93.0
Sepsis, c_645, A41.9
Sexual addiction, c_106, F52.7
Shigellosis, c_521, A03
Shingles, c_78, B02
Shoulder bursitis, c_932, M75.5
Shoulder contusion, c_1037, S40.0
Shoulder dislocation, c_1028, S43.0
Shoulder impingement syndrome, c_948, M75.4
Sickle cell anemia, c_588, D57
Sjögren's syndrome, c_144, M35.0
Sleep related leg cramps, c_1232, G47.8
Small intestinal bacterial overgrowth, c_466, K90.8
Social anxiety disorder, c_308, F40.1
Solar lentigo, c_826, L81.4
Specific learning disability, c_1180, F81, F81.0, F81.1, F81.2, F81.3, F81.8, F81.9
Specific phobia, c_370, F40.2
Spinal osteoarthritis, c_218, M47
Splenic injury, c_755, S36.0
Sprained ankle, c_689, S93.4
Sprained elbow, c_817, S53.4
Sprained finger, c_1034, S63.6
Sprained hip, c_828, S73.1
Sprained knee, c_829, S83.4, S83.5, S83.6
Sprained shoulder, c_830, S43.4
Sprained wrist, c_818, S63.5
Stable angina pectoris, c_663, I20.8
Stable bradyarrhythmia, c_1134, R00.1
Stable tachyarrhythmia, c_1128, I47.2, I48.3, I48.4, I49.1, I49.2, I49.3, I49.4
Stress fracture of foot, c_1175, M84.3
Stress fracture of lower leg, c_1176, M84.3
Stress urinary incontinence, c_116, N39.3
Stye, c_170, H00.0
Subarachnoid hemorrhage, c_685, I60
Sudden sensorineural hearing loss, c_673, H90.3, H90.4
Suicidal tendencies, c_1130, Z91.5
Sun allergy, c_819, L56.3, L56.4, L56.8, L56.9
Sunburn, c_962, L55
Superficial thrombophlebitis, c_135, I80.0
Superior vena cava syndrome, c_616, I87.1
Suspicious mole, c_970, D22, D22.1, D22.2, D22.3, D22.4, D22.5, D22.6, D22.7, D22.9
Syndrome of inappropriate antidiuretic hormone secretion, c_505, E22.2
Systemic lupus erythematosus, c_109, M32, M32.0, M32.1, M32.8, M32.9
Systemic scleroderma, c_112, M34
