Abdominal guarding, s_1558
Allen-Cleckley sign, s_1272
Alogia, s_837
Amenorrhea- primary, s_1458
Amenorrhea- secondary, s_1457
Amenorrhea- secondary- 12 months or more, s_1370
Amusia, s_1032
Angular cheilitis, s_608
Anhedonia, s_508
Anhidrosis, s_1123
Anhidrosis- face- unilateral, s_669
Anicteric presentation, s_2170
Anisocoria, s_497
Annular skin lesions, s_1647
Anorectal pain, s_436
Anxiety, s_120
Anxiety attack, s_582
Apathy, s_4
Aphonia, s_477
Appetite for salty foods, s_6
Apraxia, s_1010
Ascites, s_1116
Ataxia, s_651
Ataxia- acute, s_2278
Ataxia- chronic, s_2280
Ataxia- subacute, s_2279
Audible wheezing, s_474
Auditory verbal agnosia, s_1028
Auscultative fine crackles over the thorax, s_857
Auscultative rhonchi over the thorax, s_1316
Auscultative wheezes over the thorax, s_856
Avoiding actions- places- or people that bring back memories of a traumatic experience, s_710
Avoiding eating in someone else's presence, s_719
Avoiding eating or drinking in public, s_718
Avoiding public appearances, s_717
Avoiding talking to authority figures, s_720
Avoiding thoughts- feelings- or conversations related to a traumatic experience, s_709
Axillary or inguinal freckles, s_1322
Babinski sign, s_1023
Back pain, s_1190
Back pain- exacerbated by physical exertion, s_159
Back pain- improves with rest, s_1206
Back pain- lasting several hours, s_1205
Back pain- lumbar, s_53
Back pain- lumbar- radiates to back of the thigh, s_38
Back pain- lumbar- radiating to the groin, s_663
Back pain- lumbar- unknown radiating direction, s_2314
Back pain- nocturnal, s_2284
Back pain- recurrent, s_1189
Back pain- severe, s_1192
Back pain- sudden, s_1198
Back pain- thoracic, s_1772
Back pain- worsens on palpation, s_2085
Bedwetting, s_2048
Belching, s_561
Bilateral absence of Achilles tendon reflex, s_1073
Bilateral enophthalmos, s_698
Bilateral muscle paralysis, s_1291
Bing's sign, s_1257
Binge eating, s_137
Binge eating- followed by self-disgust, s_568
Bizarre delusion, s_769
Black coloured stool, s_71
Black stool- related to diet or medicine intake, s_2523
Bladder sphincter dysfunction, s_1119
Bleeding after intercourse, s_152
Bleeding from anus, s_115
Bleeding from anus- heavy, s_2277
Bleeding from anus- light, s_2276
Bleeding gums, s_111
Bleeding into muscles, s_1386
Blepharoptosis, s_192
Blepharoptosis- acute, s_2508
Blepharoptosis- chronic, s_2511
Blisters, s_1807
Blisters- bulla, s_1803
Blisters- vesicle, s_1804
Bloating, s_309
Blood oxygen saturation- between 80% and 89%, s_2388
Blood oxygen saturation- between 90% and 94%, s_2387
Blood oxygen saturation- lower than 80%, s_2389
Blood oxygen saturation- normal, s_2376
Blood oxygen saturation- not measured, s_2375
Blood oxygen saturation- sudden worsening, s_2390
Blood pressure- between 140 and 179 mmHg, s_2408
Blood pressure- elevated, s_543
Blood pressure- more than 180 mmHg, s_1933
Blood pressure- normal or prehypertension, s_2272
Blood pressure- not measured, s_2273
Blunted affect, s_771
Body aches, s_1835
Bone deformation- non-traumatic, s_2180
Bone deformation- post-traumatic, s_2181
Bone pain, s_612
Bone pain- lasting less than a week, s_2070
Bone pain- lasting more than 1 week, s_2071
Bone pain- nocturnal, s_2361
Bowel incontinence, s_641
Bowel sounds- decreased, s_1553
Bowel sounds- hyperactive- high-pitched, s_1552
Bradycardia, s_534
Breast asymmetry in size or shape, s_2234
Breast pain or tenderness- bilateral, s_1480
Breast pain or tenderness- unilateral, s_609
Broken hair, s_1671
Brown coloured stool, s_2521
Brown nail discolouration, s_1310
Brudzinski's sign, s_1690
Bruise, s_2341
Bruising after trauma, s_1960
Bruxism, s_2283
Buccofacial or orofacial apraxia, s_1013
Bulge protruding through vaginal opening, s_1717
Burning skin, s_1165
Burning skin- face, s_1684
Burning tongue, s_200
Buttocks pain, s_1918
Café au lait macules, s_1330
Calf hypertrophy, s_2261
Calf pain, s_1620
Calf pain- above the heel, s_1878
Calf pain- severe while walking, s_232
Calf pain- severe while walking- intermittent claudication, s_732
Cardiac murmurs, s_1720
Carotid bruit, s_1576
Catastrophising, s_2409
Ceasing or limiting alcohol consumption, s_589
Ceasing or limiting opioid intake, s_2469
Cervical dystonia, s_996
Chaddock's sign, s_1258
Change in colour of a tooth, s_346
Change in colour of a tooth- brown, s_2396
Change in colour of a tooth- white, s_2393
Change in handwriting, s_345
Chemical burn, s_2214
Chemosis, s_1091
Chest pain, s_50
Chest pain- burning, s_2096
Chest pain- continuing during rest, s_31
Chest pain- diffuse, s_51
Chest pain- during physical exertion, s_35
Chest pain- exacerbated by chest wall movement, s_2051
Chest pain- exacerbated by stress, s_1763
Chest pain- exacerbating when lying down, s_2006
Chest pain- exacerbating with deep breath or cough, s_30
Chest pain- lasting between 30 minutes and 8 hours, s_2019
Chest pain- lasting less than 30 minutes, s_2018
Chest pain- lasting more than 8 hours, s_2022
Chest pain- pressure, s_1925
Chest pain- radiating between shoulder blades, s_37
Chest pain- radiating to left upper limb, s_2074
Chest pain- radiating to the neck, s_36
Chest pain- recurrent, s_1952
Chest pain- severe, s_1197
Chest pain- stabbing, s_1601
Chest pain- subsides during rest, s_48
Chest pain- substernal, s_1509
Chest pain- sudden, s_1200
Chest pain- worsens on palpation, s_1178
Chest pain- worsens on palpation of costochondral joints, s_1580
Chest retractions, s_2134
Cheyne-Stokes respiration, s_1546
Chills, s_81
Choking, s_2296
Chorea, s_1456
Chvostek's sign, s_867
Clasp-knife spasticity, s_1281
Claudication in upper leg, s_734
Clearing the throat, s_1094
Clicking or cracking in the jaw when opening or closing the mouth, s_429
Clogged ear, s_276
Close contact with COVID-19 case, s_2256
Close family or friends pointing out excessive drinking, s_288
Clubfoot, s_869
Coated tonsils, s_610
Coating on tongue, s_1184
Cognitive disturbances, s_2108
Cogwheel muscle rigidity, s_1283
Cold and clammy skin, s_1926
Cold feet and toes, s_408
Cold feet and toes- unilateral, s_2196
Cold hands or fingers, s_556
Cold sensitivity, s_118
Colour vision deficiency, s_1328
Coma, s_2109
Complete vision loss- recent, s_1934
Compulsive behaviour, s_303
Confabulation, s_831
Confusion- after trauma, s_1345
Consciousness disturbances, s_2034
Consciousness disturbances- acute, s_2072
Consciousness disturbances- chronic, s_2073
Constant need for sex, s_181
Constipation, s_329
Constipation- chronic, s_2162
Consumption of expired food or drink, s_2164
Contentiousness, s_635
Convergent strabismus, s_1228
Corn or callus, s_1676
Corneal reflex weak or absent, s_1268
Cornell's sign, s_1273
Cough, s_102
Cough- alternating productivity, s_2268
Cough- dry, s_105
Cough- lasting 3 to 8 weeks, s_1858
Cough- lasting less than 3 weeks, s_103
Cough- lasting more than 8 weeks, s_106
Cough- nocturnal, s_1985
Cough- paroxysmal, s_1924
Cough- productive, s_104
Cough- productive in the morning, s_662
Cough- productive with pink- frothy sputum, s_670
Cough- productive with yellow or green sputum, s_526
Creaking joints during movement, s_270
Crotch pain, s_28
Crotch pain- glans penis, s_60
Crotch pain- sudden, s_34
Crotch pain- testicular or scrotal, s_52
Crotch pain- vulvovaginal, s_1829
Current cigarette smoking, s_195
Cyanosis, s_437
Cyanosis under the eyes, s_1105
Cyanosis- fingers, s_553
Cystoid macular edema, s_1413
Damage to 2 separate areas of innervation, s_1338
Dance's sign, s_1555
Dandruff, s_1616
Darier's sign, s_1171
Dark urine, s_611
Dark-red spots in optic disc vessels, s_1417
Decreased hearing, s_208
Decreased hearing- progressive hearing loss, s_1484
Decreased hearing- sudden hearing loss, s_1538
Decreased hearing- variable intensity and duration, s_935
Decreased intensity of breath sounds, s_1693
Decreased intensity of breath sounds- right basilar lung zones, s_1395
Decreased libido, s_236
Decreased motivation, s_661
Decreased need for sleep, s_634
Decreased pupillary light reflex, s_535
Decreased skin turgor, s_697
Decreased tongue motility, s_1277
Decreased visual acuity, s_967
Deep filling of treated tooth, s_97
Deep tendon reflexes- decreased, s_652
Deep tendon reflexes- increased, s_878
Deepening of periodontal pockets, s_108
Deepening of voice, s_422
Delayed speech or language development, s_1603
Delusion of guilt or sin, s_768
Delusion of impoverishment, s_774
Delusions, s_2098
Delusions of grandeur, s_677
Delusions of influence, s_680
Delusions of persecution, s_675
Delusions of reference, s_676
Delusions of thought insertion- thought withdrawal- thought broadcasting, s_839
Demarcation of retinal detachment, pigmented or nonpigmented, s_1409
Dennie-Morgan fold, s_1106
Dental plaque, s_203
Depersonalization, s_1587
Depressed mood, s_169
Depressed mood- more than 2 weeks, s_916
Derealization, s_514
Dermatological changes, s_241
Dermatological changes- aggravated by stress, s_1761
Dermatological changes- entire body, s_398
Dermatological changes- exacerbated by alcohol consumption, s_1692
Dermatological changes- exacerbated by sunlight exposure, s_1921
Dermatological changes- eyelid, s_483
Dermatological changes- feet, s_1923
Dermatological changes- female genital area, s_2110
Dermatological changes- forming a line, s_350
Dermatological changes- hands, s_1982
Dermatological changes- hot to the touch, s_1510
Dermatological changes- hyperpigmentation of the skin, s_1680
Dermatological changes- in direct contact with buttons- fasteners- or cosmetics, s_352
Dermatological changes- localised, s_2382
Dermatological changes- located in genital area- chancre, s_1602
Dermatological changes- located in the genital area, s_1810
Dermatological changes- located on the face, s_1808
Dermatological changes- lower extremities excluding feet, s_2267
Dermatological changes- male genital area, s_2111
Dermatological changes- mouth, s_694
Dermatological changes- on genitals resembling cauliflower, s_221
Dermatological changes- painful, s_1571
Dermatological changes- preceded by pain or itching, s_400
Dermatological changes- recurring during infections or menstrual period, s_402
Dermatological changes- rough and irregular surface, s_404
Dermatological changes- scabs, s_245
Dermatological changes- scalp, s_2059
Dermatological changes- spreading, s_1988
Dermatological changes- tongue, s_2412
Dermatological changes- trunk, s_2060
Dermatological changes- upper extremities excluding hands, s_2266
Dermatological changes- with flare-ups and remissions, s_1191
Destructive thoughts towards other people or things, s_1957
Diarrhea, s_8
Diarrhea- foamy, s_412
Diarrhea- lasting 2 to 14 days, s_2194
Diarrhea- lasting 2 to 4 weeks, s_2328
Diarrhea- lasting less than 48 hours, s_2126
Diarrhea- lasting more than 4 weeks, s_2322
Diarrhea- more than 6 stools a day, s_1979
Diarrhea- rice water, s_1376
Diarrhea- unknown character, s_2316
Difference in size of testicles, s_1798
Difficulty achieving orgasm, s_1574
Difficulty acquiring new information, s_269
Difficulty biting and chewing, s_266
Difficulty bonding with infant, s_727
Difficulty completely closing eye, s_1154
Diminished appetite, s_284
Diminished fear responses, s_1035
Diminished superficial reflexes, s_1021
Diplopia, s_207
Diplopia while looking down and medially, s_1232
Diplopia while looking in any direction, s_1235
Diplopia with horizontal image dispersion, s_1229
Diplopia- lasting less than 24 hours, s_2200
Diplopia- lasting more than 24 hours, s_2201
Direct care to COVID-19 case, s_2254
Discharge from ear, s_297
Discharge from ear- bloody, s_1577
Discharge from ear- purulent, s_1994
Discharge from periodontal pockets, s_302
Discharge from urethra, s_369
Discharge in tympanic cavity, s_1109
Discharge under foreskin, s_301
Disinhibition, s_1007
Disorganised behaviour, s_731
Dissociated sensory loss, s_1265
Distance misjudgment, s_501
Diurnal mood variation, s_730
Divergent strabismus, s_1236
Dix-Hallpike maneuver- rotatory nystagmus, s_1731
Dizziness, s_370
Dizziness- head rotation, s_1479
Dizziness- recurrent, s_2023
Dizziness- unbearable, s_2118
Dizziness- vertigo, s_936
Drinking alcohol alone, s_828
Drinking alcohol at work, s_827
Drinking alcohol despite awareness of harmful effects, s_819
Drinking alcohol to ease hangover, s_109
Drinking large quantities of alcohol, s_198
Drinking large quantities of alcohol at one time, s_199
Drive for muscularity, s_2473
Drooping mouth corner, s_432
Drop attack, s_974
Drunk driving, s_823
Dry discharge on eyelids, s_489
Dry eyes, s_2094
Dry mouth, s_247
Dry skin, s_542
Dry- cracked skin- bleeding occasionally, s_385
Dysmenorrhea, s_59
Dyspepsia, s_1432
Dysphagia, s_962
Dysphagia- esophageal, s_1779
Dysphagia- oropharyngeal, s_1776
Dysphonia, s_68
Dysphonia- more than 2 weeks, s_1958
Dyspnea, s_88
Dyspnea- acute- after trauma, s_2075
Dyspnea- after a few minutes of walking, s_2203
Dyspnea- at rest, s_2205
Dyspnea- lasting 1 to 24 hours, s_2176
Dyspnea- lasting between 1 day and 4 weeks, s_90
Dyspnea- lasting more than 4 weeks, s_1625
Dyspnea- on exertion, s_2204
Dyspnea- orthopnea, s_563
Dyspnea- paroxysmal nocturnal, s_1317
Dyspnea- started 1 hour ago, s_92
Dyspnea- sudden worsening, s_2368
Dyspnea- unknown severity, s_2231
Dyspnea- with flare-ups and remissions, s_1185
Dystonia, s_1298
Ear canal swelling, s_291
Earache, s_47
Earache- tenderness around the ear, s_476
Easy bruising, s_234
Echolalia, s_1696
Edema, s_700
Edema- both ankles, s_623
Edema- both feet, s_1995
Edema- both hands, s_2093
Edema- both lower limbs, s_175
Edema- costochondral junctions, s_1581
Edema- daytime, s_701
Edema- dependent on the body position, s_699
Edema- elbow joint, s_1635
Edema- face, s_616
Edema- finger, s_1311
Edema- hip joint, s_1652
Edema- joint, s_174
Edema- knee joint, s_170
Edema- lip, s_1433
Edema- neck, s_363
Edema- nose, s_1996
Edema- one ankle, s_171
Edema- one foot, s_2103
Edema- one hand, s_1464
Edema- one lower limb, s_173
Edema- penis, s_2207
Edema- periorbital, s_1442
Edema- pitting, s_562
Edema- scrotum, s_176
Edema- shoulder joint, s_1655
Edema- toe, s_1997
Edema- upper limb, s_1447
Edema- wrist joint, s_1431
Electrical burn, s_1989
Elevated mood, s_633
Enamel hypomineralization, s_2383
Enamel hypoplasia, s_1166
Enamel lesions, s_2381
Enamel lesions- caries, s_272
Enamel lesions- spots, s_2391
Enamel lesions- symmetrical, s_2384
Enlarged axillary lymph nodes, s_2292
Enlarged breasts, s_219
Enlarged cervical lymph nodes, s_2248
Enlarged front of neck, s_2247
Enlarged kidneys, s_1052
Enlarged lymph nodes, s_220
Enlarged salivary glands, s_1057
Enlarged side of neck, s_2465
Enlarged vein of limb- chest or abdomen, s_290
Enlarged whole neck, s_2467
Enlargement of hands- feet- or face, s_480
Enlargement of palatine tonsil- unilateral, s_1390
Enlargement of palatine tonsils- bilateral, s_1102
Enlargement of the lymphoid tissue in the pharynx, s_1103
Erectile dysfunction, s_733
Erythema, s_229
Erythema migrans, s_202
Erythema- V-shaped on chest, s_759
Erythema- around eyes, s_1955
Erythema- chest, s_2484
Erythema- facial, s_1468
Erythema- facial- butterfly-shaped, s_230
Erythema- finger, s_1314
Erythema- foreskin or head of the penis, s_433
Erythema- hand, s_557
Erythema- joint, s_323
Erythema- large portion of body, s_1469
Erythema- limb, s_325
Erythema- limbs- symmetrical, s_2477
Erythema- neck, s_2481
Erythema- palmar, s_1125
Erythema- scalp, s_1791
Erythema- scrotum, s_2236
Erythema- shoulders and nape of neck, s_758
Erythema- toe, s_2003
Erythema- unspecified, s_2371
Erythema- vulva, s_1999
Erythematous tonsils, s_1498
Excess hair growth, s_132
Excessive fear in public situations, s_723
Excessive fear of separation, s_2289
Excessive saliva production, s_1304
Excessive sweating, s_216
Excessive tear production, s_122
Excessive worry about the health of a child, s_725
Exophthalmos, s_1163
Eye discharge, s_2141
Eye discharge- purulent, s_2188
Eye discharge- thick and clear, s_2329
Eye flashes, s_606
Eye pain, s_493
Eye pain- unbearable, s_2242
Eyelid lesion- itching, s_1983
Eyelid lesion- painful, s_485
Eyelid lesion- red and warm, s_486
Eyelid lesion- red lump with yellow tip, s_484
Eyelid tremors, s_591
Eyelid twitching, s_235
Eyes sensitive to light, s_488
Facial muscle paresis, s_1156
Facial muscle paresis- lasting between 24 hours and 4 weeks, s_2349
Facial muscle paresis- lasting less than 24 hours, s_2348
Facial muscle paresis- lasting over 4 weeks, s_2350
Facial muscle paresis- unilateral, s_149
Facial muscle spasms, s_1425
Facial pain, s_478
Facial pain- longer than a couple of hours, s_1203
Facial pain- paranasal sinus, s_1436
Facial pain- periodic, s_427
Facial pain- severe, s_1194
Facial pain- stabbing, s_425
Facial pain- triggered by eating- or touching or brushing teeth, s_426
Facial pain- unilateral, s_424
Fascination with death, s_2415
Fatigue, s_2100
Fatigue- more than 6 months, s_1547
Fatigue- weakness after exercise, s_1332
Fear of ageing, s_2470
Fear of dying, s_516
Fear of going insane, s_1087
Fear of losing control, s_1088
Fear of obesity, s_157
Fear of object- situation- action, s_244
Fear of parent, s_2333
Fear of public appearances, s_721
Feeling hot, s_274
Feeling of guilt, s_205
Feeling of guilt or shame after drinking alcohol, s_206
Feeling of helplessness, s_629
Feeling of hopelessness, s_632
Feeling of incomplete evacuation of the bladder, s_435
Feeling of rectal fullness, s_1565
Feeling of sand under eyelids, s_201
Feeling of vaginal fullness, s_1716
Feeling of weight in scrotum, s_1175
Feeling overweight despite normal to low weight, s_419
Feeling pressure or pulsation inside the tooth, s_279
Female genital burn, s_2186
Female infertility, s_7
Fetal membranes rupture, s_2010
Fetal membranes rupture- purulent or malodorous amniotic fluid, s_2125
Fever, s_98
Fever- between 100.4 and 104°F or 38 and 40°C, s_100
Fever- between 98.6 and 100.4°F or 37 and 38°C, s_99
Fever- flare-ups and remissions, s_1186
Fever- higher than 104°F or 40°C, s_2000
Fever- lasting 3 to 7 days, s_2320
Fever- lasting less than 3 days, s_2319
Fever- lasting more than 7 days, s_2321
Fever- periodic, s_1172
Fever- temperature not measured, s_1820
Financial recklessness, s_636
Fits of anger, s_660
Flank pain, s_2182
Flat affect, s_772
Flat foot, s_2253
Foamy urine, s_504
Foot drop, s_1909
Foot pain, s_578
Foot pain- pain in back of foot during single-leg heel raise, s_1645
Forgetting names of friends and family, s_146
Forward-leaning posture, s_204
Foul-smelling stools, s_525
Frequent infections, s_505
Frequent infections- lower respiratory tract, s_532
Frequent infections- upper respiratory tract, s_531
Frequent urination, s_215
Frontal bossing, s_2366
Frontal release signs, s_990
Galactorrhea in men, s_2336
Galactorrhea in women, s_547
Gambling, s_2032
Gambling- lying about extent, s_2029
Gambling- pathological, s_2024
Gastric symptoms- after gluten ingestion, s_2271
Gastric symptoms- after lactose ingestion, s_1570
Gastric symptoms- stress-related, s_1767
General anxiety, s_583
Genital injury in female, s_2246
Genital injury in male, s_2245
Genital itch, s_253
Genu varum, s_1226
Gingival recession, s_2260
Glassy eyes, s_1090
Globus sensation, s_513
Goldflam's sign, s_1302
Gonda-Allen sign, s_1263
Gordon's sign, s_1254
Gottron's papules, s_756
Gowers' sign, s_2262
Grandiosity, s_639
Gum erythema, s_322
Gum pain, s_19
Gynecomastia, s_586
Hair loss, s_121
Hairy leukoplakia, s_618
Halitosis, s_65
Hallucinations, s_686
Hallucinations- auditory, s_682
Hallucinations- gustatory, s_683
Hallucinations- olfactory, s_684
Hallucinations- tactile, s_685
Hallucinations- visual, s_681
Halos around lights, s_2041
Hard lump in inguinal region, s_1246
Hard lump in inguinal region- dark or bluish discolouration, s_1248
Hard lump in inguinal region- irreducible, s_1247
Hard lump in inguinal region- tender, s_1249
Hard retinal exudates, s_1346
Head drop, s_191
Head tilt in order to avoid diplopia, s_1230
Head tremors, s_85
Headache, s_21
Headache- chronic, s_1535
Headache- chronic- lasting 3 to 7 days, s_1901
Headache- chronic- lasting 4 to 72 hours, s_1870
Headache- chronic- lasting 5 minutes to 4 hours, s_1868
Headache- chronic- lasting less than 5 minutes, s_1907
Headache- exacerbated by increased stress, s_1762
Headache- exacerbated by physical activity, s_1871
Headache- exacerbated by tilting head forwards, s_625
Headache- excruciating, s_1864
Headache- forehead, s_1349
Headache- generalized, s_24
Headache- lancinating, s_604
Headache- mild, s_1780
Headache- moderate, s_1781
Headache- occipital, s_970
Headache- pressing, s_23
Headache- pulsating, s_25
Headache- recent, s_1912
Headache- recent- lasting 1 to 24 hours, s_2190
Headache- recent- lasting less than 1 hour, s_2189
Headache- recent- lasting more than 1 day, s_2191
Headache- series over a period of time, s_605
Headache- severe, s_1193
Headache- sudden onset, s_1905
Headache- temporal region, s_1911
Headache- unilateral, s_22
Headache- waking up from sleep, s_2516
Headache- worse in the morning, s_799
Hearing voices arguing, s_841
Hearing voices commenting, s_840
Heartburn, s_338
Heavy legs at the end of the day, s_273
Heavy or prolonged menstrual periods, s_158
Heel drop test, s_1922
Hemarthrosis, s_1170
Hematemesis, s_306
Hemianopsia bitemporalis, s_814
Hemoptysis, s_116
Hepatomegaly, s_1051
Hiccups, s_1295
High-arched palate, s_1108
History of anemia, s_147
Holster sign, s_757
Homonymous hemianopsia, s_957
Honey-coloured crust on the skin, s_373
Hot flashes, s_280
Hyperalgesia, s_1481
Hyperkeratosis on hands, s_760
Hypersensitivity to smells, s_1891
Hypersensitivity to sound, s_1150
Hypnagogic hallucinations, s_2507
Hypochondriacal delusions, s_679
Hypomenorrhea, s_1876
Hypopigmentation of the skin, s_180
Hypopyon, s_570
Hypotension, s_533
Ignoring consequences and social norms, s_842
Illusion of surroundings being bigger or smaller than they actually are, s_341
Impaired balance while walking, s_317
Impaired concentration, s_631
Impaired downward eye motion, s_1241
Impaired lateral eye motion, s_1227
Impaired medial eye motion, s_1240
Impaired memory, s_316
Impaired memory- alcohol-related amnesia, s_825
Impaired memory- finding everyday objects, s_619
Impaired memory- short-term, s_830
Impaired smell, s_1095
Impaired social functioning, s_716
Impaired upward eye motion, s_1239
Impaired vision, s_320
Impaired vision- bilateral, s_2464
Impaired vision- one eye, s_1819
Impaired vision- recent onset, s_1818
Impaired vision- temple pain on side with vision problem, s_1146
Impulsive behaviour, s_1384
Inability to bear weight- after trauma, s_2086
Inability to complete tasks, s_1385
Inability to move mandible sideways, s_1300
Inability to pass flatus, s_1551
Inability to remember important aspects of a traumatic experience, s_711
Inability to stop drinking alcohol, s_150
Inability to stop flow of urine, s_223
Increased abdominal girth, s_277
Increased appetite, s_311
Increased expiratory phase, s_1488
Increased libido, s_421
Increased masseter reflex, s_991
Increased need in sexual experiences or sensations to attain desired effect, s_361
Increased palatine reflex, s_1278
Increased pharyngeal reflex, s_1279
Increased thirst, s_310
Insect bite or sting, s_506
Insertion of foreign body in nose or ear, s_2355
Insertion of foreign body- dangerous object, s_2454
Insomnia, s_917
Intense- non-committal relationships, s_1383
Intermittent urine flow, s_358
Interosseous muscles atrophy- feet, s_1084
Interosseous muscles atrophy- hands, s_1083
Interpersonal relationship difficulties, s_1695
Intraretinal microvascular abnormalities, s_1416
Iris neovascularization, s_1411
Irregular menstruations, s_1440
Irritability, s_540
Irritability- when unable to engage in sexual activities, s_80
Itching after a hot shower or bath, s_614
Itching around anus, s_249
Itching eye, s_1563
Itching inside ear, s_255
Itching nose or throat, s_252
Jacobsohn sign, s_1271
Janeway lesion, s_1718
Jaundice, s_332
Jaundice- during infectious disease, s_336
Jaundice- following intense physical exertion, s_335
Jaundice- stress-related, s_334
Jaw pain, s_1961
Joint deformation- non-traumatic, s_359
Joint deformation- post-traumatic, s_2087
Joint pain, s_44
Joint pain- aggravated by cold or damp weather, s_576
Joint pain- ankle, s_1621
Joint pain- during ankle movement, s_1623
Joint pain- during elbow movement, s_1634
Joint pain- during hip movement, s_1823
Joint pain- during knee movement, s_1610
Joint pain- during shoulder movement, s_1805
Joint pain- during thumb movement, s_1641
Joint pain- during wrist movement, s_1636
Joint pain- elbow, s_1632
Joint pain- hallux, s_79
Joint pain- hip, s_11
Joint pain- inflammatory, s_2299
Joint pain- knee, s_581
Joint pain- mechanical, s_2298
Joint pain- severe- after trauma, s_41
Joint pain- shoulder, s_1654
Joint pain- sudden, s_1201
Joint pain- tenderness, s_1656
Joint pain- thumb, s_1639
Joint pain- wrist, s_1430
Joint stiffness, s_575
Joint stiffness- hand stiffness in the morning, s_258
Joint stiffness- subsides after exercising, s_259
Kayser–Fleischer ring, s_1472
Kernig's sign, s_1689
Knee instability, s_1745
Koplik's spots, s_664
Kussmaul breathing, s_1451
Lack of boundaries in interpersonal relations, s_778
Lack of eye contact, s_1698
Lack of initiative- motivation- or drive, s_1006
Lateropulsion, s_964
Lead-pipe rigidity, s_1282
Learning disability, s_2152
Lens clouding, s_550
Leopard-like spots on skin, s_666
Lesions located in posterior pharynx, s_2354
Levine's sign, s_1378
Lhermitte's sign, s_1054
Lice eggs or nits on hair shafts, s_1793
Lisch nodules, s_1324
Livedo reticularis, s_763
Local dark retinal blood vessels that lie in folds, s_1407
Local elevation of retina, s_1405
Local grey discolouration of retina, s_1406
Local retinal undulation, s_1408
Loose tooth unrelated to a tooth exchange, s_228
Loss of body hair, s_1115
Loss of consciousness, s_1543
Loss of consciousness- during exercise, s_2472
Loss of consciousness- during prolonged standing, s_2468
Loss of consciousness- in a sitting or lying position, s_2471
Loss of consciousness- in a warm place, s_2474
Loss of consciousness- more than 1 minute, s_2303
Loss of consciousness- transient, s_2302
Loss of consciousness- under stress, s_2475
Loss of consciousness- with urination or defecation, s_190
Loss of interest in activities previously enjoyed- lasting at least 2 weeks, s_287
Loss of muscle mass, s_622
Loss of muscle mass- hands, s_564
Loss of sensation in the face, s_959
Loss of sensation in the face- unilateral, s_1159
Loss of sense of vibration in distal parts of extremities, s_1070
Loss of the lingual papillae, s_1394
Loss of vision in the superior quadrant, s_1027
Loss or impairment of proprioception, s_746
Loss or impairment of temperature sensation, s_747
Lost will to live, s_507
Low intraocular pressure- 4 to 5mmHg difference in affected eye compared to the other eye, s_1404
Low sense of self-worth, s_155
Lower limb pallor, s_1725
Lower limb tenderness, s_1618
Lower limb tenderness- calf, s_1622
Lump in popliteal region, s_2309
Lump in scrotum, s_1173
Lying about eating or hiding food, s_420
Lymph node pain, s_1733
